	_id	sameAs
130	dde_ccd58407d46699dc	https://data.niaid.nih.gov/resources?id=gse98527
131	dde_cf6f28f5db9e7dfc	https://data.niaid.nih.gov/resources?id=gse165532
132	dde_daef532f7463bb19	https://data.niaid.nih.gov/resources?id=gse103507
133	dde_dc386eb3a37ba7a2	https://data.niaid.nih.gov/resources?id=gse155249
134	dde_de9956a5a472ef62	https://data.niaid.nih.gov/resources?id=prjna638415
135	dde_dff976e4287f1e32	https://data.niaid.nih.gov/resources?id=gse100496
136	dde_eb1371df0ae8a85f	https://data.niaid.nih.gov/resources?id=gse77161
137	dde_05f214ce9a5dcc15	https://data.niaid.nih.gov/resources?id=msv000080899
138	dde_0ad26b6e93802474	https://data.niaid.nih.gov/resources?id=msv000080029
139	dde_0c5951d68b7c6085	https://data.niaid.nih.gov/resources?id=msv000081851
140	dde_0cce605bc04fd050	https://data.niaid.nih.gov/resources?id=gse67473
141	dde_106d9f46ee4a84dc	https://data.niaid.nih.gov/resources?id=gse70220
142	dde_1261dea33bcf3c86	https://data.niaid.nih.gov/resources?id=prjna527090
143	dde_e74bdfeef8542189	https://data.niaid.nih.gov/resources?id=pxd021588
144	dde_e9a83ca6eed0f6e1	https://data.niaid.nih.gov/resources?id=prjna526576
145	dde_edea660a8233c9db	https://data.niaid.nih.gov/resources?id=msv000082600
146	dde_f01b720db866e5c5	https://data.niaid.nih.gov/resources?id=prjna542659
147	dde_f341e9359abd193f	https://data.niaid.nih.gov/resources?id=msv000080020
148	dde_f3dee76cdf10d621	https://data.niaid.nih.gov/resources?id=msv000080903
149	dde_ff9f77ea0a71db77	https://data.niaid.nih.gov/resources?id=pxd019113
150	dde_01a3d57e683d1471	https://data.niaid.nih.gov/resources?id=gse78888
151	dde_0e70949636dc1df6	https://data.niaid.nih.gov/resources?id=msv000079415
152	dde_117d63cc05742798	https://data.niaid.nih.gov/resources?id=prjna593819
153	dde_137111046d4f31f8	https://data.niaid.nih.gov/resources?id=msv000079700
154	dde_1b82d885b8e0d041	https://data.niaid.nih.gov/resources?id=gse89008
155	dde_208dfab1d9a151de	https://data.niaid.nih.gov/resources?id=msv000080898
156	dde_2581f4c6de8e387f	https://data.niaid.nih.gov/resources?id=msv000081042
157	dde_2ebe35d46cf9ceda	https://data.niaid.nih.gov/resources?id=prjna423031
158	dde_35b0d4bbf913e31c	https://data.niaid.nih.gov/resources?id=msv000079460
159	dde_3d2bdb208a22a03e	https://data.niaid.nih.gov/resources?id=prjna422193
160	dde_401ccd5893fb592b	https://data.niaid.nih.gov/resources?id=gse129318
161	dde_4951df19ffbee790	https://data.niaid.nih.gov/resources?id=prjna381936
162	dde_4da5b1400decbbf5	https://data.niaid.nih.gov/resources?id=prjna579121
163	dde_532a0b8b6e97a99d	https://data.niaid.nih.gov/resources?id=msv000079703
164	dde_5483e440cdddb7c8	https://data.niaid.nih.gov/resources?id=msv000081046
165	dde_55df0affbb4227fc	https://data.niaid.nih.gov/resources?id=msv000079156
166	dde_594f73693dfd09fc	https://data.niaid.nih.gov/resources?id=gse183890
167	dde_59ba57e13cd71738	https://data.niaid.nih.gov/resources?id=msv000081561
